"name","type","company","description","amount","notes"
"Jean-Pierre Raffarin","pro5",,"Droits d'auteur","2011 : 32500 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Droits d'auteur","2010 : 45890 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Président ACLCC",,
"Jean-Pierre Raffarin","pro5",,"Président ACLCC","2013 : 9000 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Président ACLCC","2012 : 18000 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Président ACLCC","2011 : 18000 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Président ACLCC","2010 : 18000 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Professeur ESCP Europe","2014 : 14382 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Professeur ESCP Europe","2013 : 19623 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Professeur ESCP Europe","2012 : 23137 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Professeur ESCP Europe","2011 : 22250 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Professeur ESCP Europe","2010 : 21623 EUR par an",
"Jean-Pierre Sueur","pro5",,"Chargé d'enseignement vacataire Université d'Orléans","2009 : 2930,40 EUR",
"Jean-Pierre Sueur","pro5",,"Chargé d'enseignement vacataire Université d'Orléans","2010 : 5891,04 EUR",
"Jean-Pierre Sueur","pro5",,"Chargé d'enseignement vacataire Université d'Orléans","2011 : 2945,52 EUR",
"Jean-Pierre Vial","pro5",,,,
"Jean-Pierre Vigier","pro5",,"Exploitant agricole","11000 EUR par an",
"Jean-pierre Vogel","pro5",,"Expert-comptable ALTEXA","2014 : 56000 EUR par an",
"Jean-pierre Vogel","pro5",,"Expert-comptable ALTEXA","2013: 56690 EUR par an ",
"Jean-pierre Vogel","pro5",,"Expert-comptable ALTEXA","2012: 60837 EUR par an ",
"Jean-pierre Vogel","pro5",,"Expert-comptable ALTEXA","2011: 29733 EUR par an ",
"Jean-pierre Vogel","pro5",,"Expert-comptable ALTEXA","2010 : 30022 EUR par an ",
"Jean-René Marsac","pro5",,,,
"Jean-Sébastien Vialatte","pro5",,"Laboratoire d'Analyses Médicales","2011 : 295 956  EUR ","BNC"
"Jean-Sébastien Vialatte","pro5",,"Laboratoire d'Analyses Médicales","2010 : 342 604 EUR  ","BNC"
"Jean-Sébastien Vialatte","pro5",,"Laboratoire d'Analyses Médicales","2009 : 306 723 EUR  ","BNC"
"Jean-Sébastien Vialatte","pro5",,"Laboratoire d'Analyses Médicales","2008 : 313 609 EUR  ","BNC"
"Jean-Sébastien Vialatte","pro5",,"Laboratoire d'Analyses Médicales","2007 : 345 203 EUR","BNC"
"Jean-Vincent Placé","pro5",,"Directeur centre de formation à mi-temps jusqu'en 11/2011","34800 EUR par an","2900 EUR par mois"
"Jean-Yves Caullet","pro5",,"Directeur mission expert SNCF Conseil (TP 55 jourspar an)","2009 : 25 954 EUR ",
"Jean-Yves Caullet","pro5",,"Directeur mission expert SNCF Conseil (TP 55 jourspar an)","2010 : 10 746 EUR ",
"Jean-Yves Caullet","pro5",,"Directeur mission expert SNCF Conseil (TP 55 jourspar an)","2011 : 25 829 EUR ",
"Jean-Yves Caullet","pro5",,"Directeur mission expert SNCF Conseil (TP 55 jourspar an)","2012 : 11 487 EUR ",
"Jean-Yves Caullet","pro5",,"Prime DGME","2009 : 1 410 EUR ",
"Jean-Yves Le Bouillonnec","pro5",,,,
"Jean-Yves Le Déaut","pro5",,"chargé de cours à Sciences Po Paris depuis 2006","2096 EUR par an","Gratification moyenne de 2096 EUR par an"
"Jean-Yves Leconte","pro5",,"Gérant de la société GENERIK EKOLOGIA (jusqu'à 02/2010)","23442,32 EUR par an","De l'ordre de 100 000 PLN  (Zloty polonais) , Année non précisée"
"Jean-Yves Leconte","pro5",,"Missions auprès de la société EKOPIPE","5860,96 EUR par an","De l'ordre de 25 000 PLN (Zloty polonais) , Année non précisée"
"Jean-Yves Roux","pro5",,,,
"Jérôme Bignon","pro5",,"Avocat au barreau de Paris, démission au 30 juin 2009",,
"Jérôme Chartier","pro5",,,,
"Jérôme Durain","pro5",,"Directeur Sivom Accord","2014 : 15654 ","2014: 2609 EUR  par mois 04/2014 à 09/2014"
"Jérôme Lambert","pro5",,,,
"Joaquim Pueyo","pro5",,"Directeur de la Maison d'Arrêt de Fleury-Mérogis ",,
"Joaquim Pueyo","pro5",,"Inspecteur Territorial des services pénitentiaires Ministère de la Justice 03/2008 -> 1er 03/2012","73299, 00 EUR par an",
"Joël Giraud","pro5",,,,
"Joël Guerriau","pro5",,"Directeur général de la Fédération Nationale des Caisses d'épargne","2013 : 0 EUR par an ",
"Joël Guerriau","pro5",,"Directeur général de la Fédération Nationale des Caisses d'épargne","2012 : 0 EUR par an ",
"Joël Guerriau","pro5",,"Directeur général de la Fédération Nationale des Caisses d'épargne","2011 : 485405 EUR par an ",
"Joël Guerriau","pro5",,"Directeur général de la Fédération Nationale des Caisses d'épargne","2010 : 265197 EUR par an ",
"Joël Guerriau","pro5",,"Directeur général de la Fédération Nationale des Caisses d'épargne","2009 : 257539 EUR par an ",
"Joël Labbé","pro5",,,,
"Joëlle Garriaud-Maylam","pro5",,,,
"Joëlle Huillier","pro5",,,,
"Jonas Tahuaitu","pro5",,"1er adjoint au Maire de TEVA I UTA","9249,50 EUR par an","91 980 Fpar mois"
"Jonas Tahuaitu","pro5",,"Agent de l'équipement de 2008 à 06/2011","51034,56 EUR par an","507 504 FCPpar mois"
"Jonas Tahuaitu","pro5",,"President du SECOSUD","11756,40 EUR par an","116.909 FCP par mois"
"Jonas Tahuaitu","pro5",,"Retraité depuis 07/2011","30984 EUR par an","308 114 Fcppar mois"
"Joseph Castelli","pro5",,"Retraité",,
"Josette Durrieu","pro5",,,,
"Josette Pons","pro5",,,,
"Julie Sommaruga","pro5",,"Collaboratrice à la Mairie de Paris (07/2008-06/2012)","33168 EUR par an",
"Julien Aubert","pro5",,"Magistrat de la Cour des Comptes","74400 EUR par an ","6200 EUR par mois"
"Julien Aubert","pro5",,"Maitre de Conférence IEP d'AIX","2009-2012 : 2000 EUR par an",
"Julien Aubert","pro5",,"Maitre de Conférence Sorbonne Ulm","2009-2014 : 1500 EUR par an ",
"Julien Aubert","pro5",,"Maitre de Conférences IGPRF ","2010-2011 : 3000 EUR par an",
"Julien Aubert","pro5",,"Maitre de Conférences Université d'Avignon","2011 : 3000 EUR par an ",
"Julien Aubert","pro5",,"Mission Union pour la Méditerranée, responsable des financements de projets","86400 EUR par an","7200 EUR par mois "
"Kader Arif","pro5",,"Député européen","72000 EUR par an","De 5963 EUR à 6200 EUR par mois"
"Kader Arif","pro5",,"Ministre délégué","95200 EUR par an","7932,87 EUR par mois"
"Kader Arif","pro5",,"Secrétaire d'état","89700 EUR par an","7472,95 EUR par mois"
"Karine Berger","pro5",,"Député","2012 : 31000 EUR",
"Karine Berger","pro5",,"Député","2013 : 50262 EUR",
"Karine Berger","pro5",,"Directrice (Euler Hermes)","2010 : 105937 EUR",
"Karine Berger","pro5",,"Directrice (Euler Hermes)","2009 : 74882  EUR"," (source déclaration d'IRPP)"
"Karine Berger","pro5",,"Directrice (Euler Hermes) puis Directrice (Canal +)","2011 : 141610 EUR",
"Karine Claireaux","pro5",,,,
"Kheira Bouziane-Laroussi","pro5",,"Professeure Certifiée Education Nationale","2008 : 27 422  EUR ",
"Kheira Bouziane-Laroussi","pro5",,"Professeure Certifiée Education Nationale","2009 : 27 296 EUR ",
"Kheira Bouziane-Laroussi","pro5",,"Professeure Certifiée Education Nationale","2010 : 28 865  EUR ",
"Kheira Bouziane-Laroussi","pro5",,"Professeure Certifiée Education Nationale","2011 : 28 358  EUR ",
"Kléber Mesquida","pro5",,,,
"Ladislas Poniatowski","pro5",,,,
"Lana Tetuanui","pro5",,,,"NÉANT"
"Laure de La Raudière","pro5",,"Directeur général NAVIGACOMSAS","2009 : 68676 EUR",
"Laure de La Raudière","pro5",,"Directeur général NAVIGACOMSAS (cessation des fonctions de DG le 01/10/2010)","2010 : 69408 EUR",
"Laure de La Raudière","pro5",,"Gérante de MADISY EURL","2009 : 129756 EUR","10813 EUR en 2009 (NDR : rémunération mensuelle supposée)"
"Laure de La Raudière","pro5",,"Gérante de MADISY EURL (cessation complète d'activités le 04/11/2010)","2010 : 60012 EUR","5001 EUR en 2010 (NDR : rémunération mensuelle supposée)-Cessation complète d'activités le 04/11/2010 avec le maintien de l'inscription au RCS"
"Laurence Abeille","pro5",,"Collaborateur parlementaire jusqu'en 07/2010 au Sénat","14964 EUR par an",
"Laurence Arribagé","pro5",,,,
"Laurence Cohen","pro5",,"Orthophoniste exerçant en libérale (exercice 2009 à 2012 : clôture des comptes)","8404,40 EUR par an","33618 EUR (sur 4 ans)"
"Laurence Cohen","pro5",,"Secrétaire départementale du PCF du Val de Marne (2009-2011)","14366,18 EUR par an","43098,54 EUR (sur 3 ans)"
"Laurence Dumont","pro5",,,,
"Laurent Baumel","pro5",,"Chargé de mission","2009 : 73799  EUR",
"Laurent Baumel","pro5",,"Chargé de mission","2010 : 75144  EUR",
"Laurent Baumel","pro5",,"Chargé de mission","2011 : 67849  EUR ",
"Laurent Baumel","pro5",,"Chargé de mission","2012 : 61064  EUR",
"Laurent Cathala","pro5",,,,
"Laurent Degallaix","pro5",,"Responsable de fondation et Directeur Animation Communale jusqu'en 2011 puis passage à temps partiel et changement de fonction.","90000 EUR par an","brut"
"Laurent Furst","pro5",,,,
"Laurent Grandguillaume","pro5",,"2008 : Attaché territorial, CNFPT","35880 EUR  par an","Net"
"Laurent Grandguillaume","pro5",,"2009-2012 : en situation de détachement",,
"Laurent Grandguillaume","pro5",,"2014 : Co-président du conseil de simplification pour les entreprises",,
"Laurent Grandguillaume","pro5",,"2014 : Membre du conseil d'administration à l'Institut Supérieur des Métiers (ISM)",,
"Laurent Kalinowski","pro5",,,,
"Laurent Marcangeli","pro5",,"2008-2012 : avocat",,
"Laurent Wauquiez","pro5",,"Enseignant vacataire à l'IEP de Paris (depuis 09/2012)","1591  EUR par an",
"Laurent Wauquiez","pro5",,"Maire du Puy en Velay (depuis 03/2008)","12864 EUR par an","1.072 EUR(mensuel)"
"Laurent Wauquiez","pro5",,"Ministre de l' Enseignement Supérieur et de la Recherche (de 07/ 2011 à 05/ 2012)","140400 EUR par an","11.700 EUR (mensuels)"
"Laurent Wauquiez","pro5",,"Ministre délégué aux affaires européennes (de 10/2010 à 07/ 2011)","136800 EUR par an","11.400 EUR mensuels)"
"Laurent Wauquiez","pro5",,"Secrétaire d'Etat à l' Emploi (jusqu'en 10/2010)","129600 EUR par an","10.800 EUR (mensuels)"
"Laurent Wauquiez","pro5",,"Vice Président de la communauté d'agglomération du Puy en Velay (depuis 03/2008)","17184 EUR par an","1.432 EUR(mensuel)"
"Leila Aïchi","pro5",,"Avocat","2011 : 22145 EUR",
"Leila Aïchi","pro5",,"Avocat","2012 : 2432 EUR ",
"Leila Aïchi","pro5",,"Avocat","2013 : -4490 EUR","déficit"
"Linda Gourjade","pro5",,,"2009-2013: 129203,01 EUR par an ",
"Lionel Tardy","pro5",,"Président de la S.A.S LTI (Lionel Tardy Informatique) depuis le 01/01/2000","30615 EUR par an","153075 EUR au total pour les 5 dernières années"
"Lionnel Luca","pro5",,"Formateur BTS en alternance 4h par semaine",,
"Loïc Hervé","pro5",,,,
"Louis Duvernois","pro5",,,,
"Louis Nègre","pro5",,,,
"Louis Pinton","pro5",,,,"Vétérinaire jusqu'au 31/12/2009"
"Louis-Jean de Nicolaÿ","pro5",,,,
"Luc Belot","pro5",,"Collaborateur parlementaire du Sénateur Daniel RAOUL","22205,28 EUR par an",
"Luc Carvounas","pro5",,"Chargé de mission Agglomération Evry Centre essonne (01/2010 au 26/09/2011)","54000 EUR par an",
"Luc Carvounas","pro5",,"Directeur du Cabinet du Maire d'Athis-Mons (01/2005 à 12/2009)","45600 EUR par an",
"Luc Chatel","pro5",,"Avant 05/2012 : Néant",,
"Luc Chatel","pro5",,"Conseil et accompagnement en stratégie depuis 05/2012","2012 : 51 000  EUR 2013 : 183 135  EUR",
"Luce Pane","pro5",,"Collaborateur parlementaire","50400 EUR par an","4200 EUR par mois"
"Lucette Lousteau","pro5",,,,
"Lucien Degauchy","pro5",,,,
"Maina Sage","pro5",,,,
"Malek Boutih","pro5",,"Directeur des relations institutionnelles de la radio Skyrock","42000 EUR par an","3.500 €"
"Marc Daunis","pro5",,,,
"Marc Dolez","pro5",,,,
"Marc Francina","pro5",,,,
"Marc Goua","pro5",,,,
"Marc Laffineur","pro5",,,,
"Marc Laménie","pro5",,,,
"Marc Le Fur","pro5",,,,
"Marcel Bonnot","pro5",,"Avocat","Voir BNC (2035)",
"Marcel Rogemont","pro5",,,,
"Marc-Philippe Daubresse","pro5",,,,
"Marianne Dubois","pro5",,"Collaborateur parlementaire jusqu'en avril 2009","56736 EUR par an","4728 euros "
"Marie Le Vern  ","pro5",,"Publication à venir","Publication à venir",
"Marie Mercier","pro5",,"Médecin","2014 : 20005 EUR par an ",
"Marie Mercier","pro5",,"Médecin","2013 : 24922 EUR par an ",
"Marie Mercier","pro5",,"Médecin","2012 : 24872 EUR par an ",
"Marie Mercier","pro5",,"Médecin","2011 : 20111 EUR par an ",
"Marie Mercier","pro5",,"Médecin","2010 : 17501 EUR par an ",
"Marie Recalde","pro5",,"2013 : arrêt activité professionnelle",,
"Marie Recalde","pro5",,"Directrice de SYSDAU","2011 : 22672 EUR par an",
"Marie Recalde","pro5",,"Directrice de SYSDAU","2010 : 52422 EUR par an",
"Marie Recalde","pro5",,"Directrice de SYSDAU","2009 : 52700 EUR par an",
"Marie Recalde","pro5",,"Urbaniste conseil - Advento","2012 : 19806 EUR par an",
"Marie Recalde","pro5",,"Urbaniste conseil - Advento","2011 : 22573 EUR par an",
"Marie-Anne Chapdelaine","pro5",,"Collaboratrice ADRES :Association Départementale de Recherche et d'Etudes Sociales (03/2007 à 04/2008)","18000 EUR par an",
"Marie-Annick Duchêne","pro5",,,,
"Marie-Arlette Carlotti","pro5",,,,
"Marie-Christine Blandin","pro5",,,,
"Marie-Christine Dalloz","pro5",,,,
"Marie-France Beaufils","pro5",,,,
"Marie-Françoise Bechtel","pro5",,"Membre du conseil d'état","autour de 100000 EUR par an",
"Marie-Françoise Clergeau","pro5",,,,
"Marie-Françoise Perol-Dumont","pro5",,,,
"Marie-George Buffet","pro5",,,,
"Marie-Hélène Des Esgaulx","pro5",,,,
"Marie-Hélène Fabre","pro5",,"Collaborateur parlementaire jusqu'au 17/06/2012","56846 EUR par an",
"Marie-Jo Zimmermann","pro5",,,,
"Marie-Line Reynaud","pro5",,"Députée de la Charente","61785,24 EUR par an","5148,77 EUR"
"Marie-Lou Marcel","pro5",,"Congé charbonnier de fin de carrière (HBCM)","46776 EUR par an","3898 EUR mensuels (net)"
"Marie-Louise Fort","pro5",,,,
"Marie-Noëlle Battistel","pro5",,"Directrice société transports voyageurs M.M.T Voyages","18569,76 EUR par an","1547,48 EUR nets mensuels"
"Marie-Noëlle Lienemann","pro5",,"Professeur de l'Education Nationale de 08/2009 à 30 sept. 2011 (date entrée au Sénat)  au/avant j'étais parlementaire au ParlementEuropéen","2009 : 32400 EUR par an","Base mensuelle en 2009 : 2700 EUR en 2011 : 3000 EUR"
"Marie-Noëlle Lienemann","pro5",,"Professeur de l'Education Nationale de 08/2009 à 30 sept. 2011 (date entrée au Sénat)  au/avant j'étais parlementaire au ParlementEuropéen","36000 EUR par an","Base mensuelle en 2009 : 2700 EUR en 2011 : 3000 EUR"
"Marie-Odile Bouillé","pro5",,,,
"Marie-Pierre Monier","pro5",,"Professeur certifié de l'éducation nationale","35424 EUR par an",
"Marietta Karamanli","pro5",,,,
"Marion Maréchal-Le Pen","pro5",,,,
"Martial Bourquin","pro5",,,,
"Martial Saddier","pro5",,,,
"Martine Carrillon-Couvreur","pro5",,,,
"Martine Faure","pro5",,,,
"Martine Lignières-Cassou","pro5",,,,
"Martine Martinel","pro5",,,,
"Maryvonne Blondin","pro5",,,,
"Mathieu Darnaud","pro5",,"Collaborateur parlementaire du député Franck Reynier (Du 01/03/2009 au 01/03/2010)","29100 EUR par an",
"Mathieu Darnaud","pro5",,"Auto-entrepreneur dans la formation (Du 01/04/2011 au 01/12/2011)","2914 EUR par an ",
"Mathieu Hanotin","pro5",,"Conseiller du président du Red Star (club de football) (12/2009 - 12/2010)","18000 EUR par an","1500 EUR net mensuels"
"Maud Olivier","pro5",,,,
"Maurice Antiste","pro5",,"Enseignant Professeur certifié de lettres","2009 : 24 247 EUR ",
"Maurice Antiste","pro5",,"Enseignant Professeur certifié de lettres","2010 :   24 626 EUR ",
"Maurice Antiste","pro5",,"Enseignant Professeur certifié de lettres","2011 :  26 431 EUR",
"Maurice Leroy","pro5",,,,
"Maurice Vincent","pro5",,"Professeur des universités","2011 : NÉANT","Jusqu'en 2009, en détachement ensuite"
"Maurice Vincent","pro5",,"Professeur des universités","2010 : NÉANT",
"Maurice Vincent","pro5",,"Professeur des universités","2009 : 18384 EUR par an ",
"Maurice Vincent","pro5",,"Professeur des universités","2008 : 46829 EUR par an",
"Maurice Vincent","pro5",,"Professeur des universités","2007 : 56011 EUR par an ",
"Maurice Vincent","pro5",,"Professeur des universités jusqu'en 2009, en détachement ensuite","2007 : 56011  EUR ",
"Maurice Vincent","pro5",,"Professeur des universités jusqu'en 2009, en détachement ensuite","2008 : 46829  EUR ",
"Maurice Vincent","pro5",,"Professeur des universités jusqu'en 2009, en détachement ensuite","2009 : 18384  EUR ",
"Meyer Habib","pro5",,"Directeur Général du groupe Vendome SA","84000 EUR par an","Salaire mensuel avec prime entre 6 et 8000 EUR par mois sur les 5 dernières années"
"Michel Amiel ","pro5",,"Medecin généraliste","80000  EUR par an",
"Michel Berson","pro5",,,,
"Michel Billout","pro5",,,,
"Michel Boutant","pro5",,,,
"Michel Bouvard","pro5",,"Conseiller Maître à la cour des comptes à compter d'avril 2013","99600 EUR par an","8300 EUR net mensuel y compris primes de rendement"
"Michel Bouvard","pro5",,"PDG de la  Construction Immobilière Familiale (CIF) développement (Banque)","285600 EUR par an ","23800 EUR net mensuel"
"Michel Canevet","pro5",,"Jury de concours au conseil général en 2014","2014 : 300 EUR par an ",
"Michel Delebarre   ","pro5",,,,
"Michel Destot","pro5",,,,
"Michel Fontaine","pro5",,"Gérant associé médecin radiologue","2012: 171215 EUR  par an ",
"Michel Fontaine","pro5",,"Gérant associé médecin radiologue","2011: 166431 EUR  par an ",
"Michel Fontaine","pro5",,"Gérant associé médecin radiologue","2010: 218443 EUR  par an ",
"Michel Fontaine","pro5",,"Gérant associé médecin radiologue","2009: 129628 EUR  par an ",
"Michel Fontaine","pro5",,"Gérant associé médecin radiologue","2008: 132020 EUR  par an ",
"Michel Forissier","pro5",,,,
"Michel Françaix","pro5",,,,
"Michel Heinrich","pro5",,"Pharmacien d'officine (vendu 30/4/2011)","2011 : -54371 EUR","Pertes "
"Michel Heinrich","pro5",,"Pharmacien d'officine (vendu 30/4/2011)","2010 : 19543 EUR","gains"
"Michel Heinrich","pro5",,"Pharmacien d'officine (vendu 30/4/2011)","2009 : 42238 EUR","gains"
"Michel Herbillon","pro5",,,,
"Michel Houel","pro5",,,,
"Michel Issindou","pro5",,,,
"Michel Le Scouarnec","pro5",,"Maire de la ville d'Auray de 1995 à 06/2012","24000 EUR par an sauf 2012 : 9000 EUR","Total  81000 EUR"
"Michel Lefait","pro5",,,,
"Michel Lesage","pro5",,,,
"Michel Liebgott","pro5",,,,"NÉANT"
"Michel Magras","pro5",,,,"NÉANT"
"Michel Ménard","pro5",,,,
"Michel Mercier","pro5",,"Ministre de la Justice","2010 - 2012 : 145188 EUR par an",
"Michel Mercier","pro5",,"Ministre de la Ruralité ","2009 - 2010 : 145188 EUR par an ",
"Michel Pajon","pro5",,,,
"Michel Piron","pro5",,,,
"Michel Pouzol","pro5",,,,
"Michel Raison","pro5",,,,
"Michel Savin","pro5",,"Agent technique principal jusqu'en 09/2011","16500 EUR par an",
"Michel Sordi","pro5",,"2009-2014 : Chargé de mission Direction de la construction durable","7836 EUR par an","brut annuel HOLCIM"
"Michel Terrot","pro5",,,,
"Michel Vaspart","pro5",,,,
"Michel Vauzelle","pro5",,,,
"Michel Vergnier","pro5",,,,
"Michel Vergoz","pro5",,"Pharmacien","2013 : 72 161 EUR ",
"Michel Vergoz","pro5",,"Pharmacien","2012 : 31 009 EUR",
"Michel Vergoz","pro5",,"Pharmacien","2011 : 66 313 EUR",
"Michel Vergoz","pro5",,"Pharmacien","2010 : 110 830 EUR",
"Michel Vergoz","pro5",,"Pharmacien","2009 : 106 711 EUR",
"Michel Voisin","pro5",,,,
"Michel Zumkeller","pro5",,,,
"Michèle André ","pro5",,,,
"Michèle Bonneton","pro5",,"Retraité depuis 2007",,
"Michèle Delaunay","pro5",,,,
"Michèle Fournier-Armand","pro5",,,,
"Michèle Tabarot","pro5",,,,
"Michelle Demessine","pro5",,,,
"Michelle Meunier","pro5",,,,
"Mireille Jouve","pro5",,,,
"Monique Iborra","pro5",,,,
"Monique Orphé","pro5",,,,
"Monique Rabin","pro5",,"Maire de Saint Philbert de Grand Lieu","13200 EUR par an",
"Monique Rabin","pro5",,"Vice présidente de la région des Pays de la Loire","31200 EUR par an","2 600 EUR"
"Monique Rabin","pro5",,"Vice-présidente de la communauté de communes de Grand Lieu","9000 EUR par an",
